"Year";"Name";"Location";"Country";"Type";"Status";"Volcano Explosivity Index (VEI)"
"1871";"Hibok-Hibok";"Mindanao-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1871";"Gamalama";"Halmahera-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1871";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1872";"Vesuvius";"Italy";"Italy";"Complex volcano";"Historical";"3"
"1872";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"4"
"1872";"Aso";"Kyushu-Japan";"Japan";"Caldera";"Historical";"3"
"1872";"Sinarka";"Kuril Is";"Russia";"Stratovolcano";"Historical";"4"
"1873";"Ragang";"Mindanao-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1874";"Miyake-jima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1874";"Taal";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1875";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"0"
"1875";"Askja";"Iceland-NE";"Iceland";"Stratovolcano";"Historical";"5"
"1877";"Mauna Loa";"Hawaiian Is";"United States";"Shield volcano";"Historical";"0"
"1877";"Cotopaxi";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"4"
"1878";"Yasur";"Vanuatu-SW Pacific";"Vanuatu";"Stratovolcano";"Historical";"3"
"1878";"Rabaul";"New Britain-SW Pac";"Papua New Guinea";"Pyroclastic shield";"Historical";"3"
"1878";"Yasur";"Vanuatu-SW Pacific";"Vanuatu";"Stratovolcano";"Historical";""
"1878";"Okmok";"Aleutian Is";"United States";"Shield volcano";"Historical";"2"
"1879";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1883";"Karthala";"Indian O-W";"Comoros";"Shield volcano";"Historical";"2"
"1883";"Krakatau";"Indonesia";"Indonesia";"Caldera";"Historical";"6"
"1883";"Augustine";"Alaska-SW";"United States";"Lava dome";"Historical";"4"
"1883";"Krakatau";"Indonesia";"Indonesia";"Caldera";"Historical";""
"1883";"Bagana";"Bougainville-SW Paci";"Papua New Guinea";"Lava cone";"Historical";"3"
"1884";"Krakatau";"Indonesia";"Indonesia";"Caldera";"Historical";""
"1884";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1885";"Purace";"Colombia";"Colombia";"Stratovolcano";"Historical";"3"
"1886";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"4"
"1886";"Okataina";"New Zealand";"New Zealand";"Lava dome";"Historical";"2"
"1886";"Niuafo'ou";"Tonga-SW Pacific";"Tonga";"Shield volcano";"Historical";"4"
"1887";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1888";"Ritter Island";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"3"
"1888";"Bandai";"Honshu-Japan";"Japan";"Stratovolcano";"Historical";"4"
"1889";"Banua Wuhu";"Sangihe Is-Indonesia";"Indonesia";"Submarine volcano";"Historical";"2"
"1890";"Makian";"Halmahera-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1890";"Victory";"New Guinea";"Papua New Guinea";"Stratovolcano";"Historical";"2"
"1892";"Sorikmarapi";"Sumatra";"Indonesia";"Stratovolcano";"Historical";"2"
"1892";"Awu";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"3"
"1893";"Azuma";"Honshu-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1894";"Ambrym";"Vanuatu-SW Pacific";"Vanuatu";"Pyroclastic shield";"Historical";"3"
"1895";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1895";"Karkar";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"2"
"1895";"Kirishima";"Kyushu-Japan";"Japan";"Shield volcano";"Historical";"2"
"1895";"Dakataua";"New Britain-SW Pac";"Papua New Guinea";"Caldera";"Anthropology";"2"
"1896";"Kirishima";"Kyushu-Japan";"Japan";"Shield volcano";"Historical";"2"
"1897";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1899";"Dona Juana";"Colombia";"Colombia";"Stratovolcano";"Historical";"4"
"1899";"Manam";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"2"
"1900";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1900";"Kirishima";"Kyushu-Japan";"Japan";"Shield volcano";"Historical";"2"
"1900";"Adatara";"Honshu-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1900";"Tullu Moje";"Africa-NE";"Ethiopia";"Pumice cone";"Anthropology";""
"1901";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1901";"Epi";"Vanuatu-SW Pacific";"Vanuatu";"Stratovolcano";"Historical";""
"1902";"Pelee";"W Indies";"Martinique";"Stratovolcano";"Historical";""
"1902";"Soufriere St. Vincent";"W Indies";"St. Vincent & the Grenadines";"Stratovolcano";"Historical";"4"
"1902";"Pelee";"W Indies";"Martinique";"Stratovolcano";"Historical";"4"
"1902";"Pelee";"W Indies";"Martinique";"Stratovolcano";"Historical";""
"1902";"Tori-shima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1902";"Pelee";"W Indies";"Martinique";"Stratovolcano";"Historical";"4"
"1902";"Santa Maria";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"6"
"1902";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1903";"Okataina";"New Zealand";"New Zealand";"Lava dome";"Historical";"1"
"1904";"Karthala";"Indian O-W";"Comoros";"Shield volcano";"Historical";"2"
"1905";"Vesuvius";"Italy";"Italy";"Complex volcano";"Historical";"2"
"1905";"Savai'i";"Samoa-SW Pacific";"Samoa";"Shield volcano";"Historical";"2"
"1906";"Vesuvius";"Italy";"Italy";"Complex volcano";"Historical";"3"
"1907";"Unnamed";"Tonga-SW Pacific";"Tonga";"Submarine volcano";"Historical";"0"
"1907";"Alayta";"Africa-NE";"Ethiopia";"Shield volcano";"Historical";"2"
"1907";"Lewotobi";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"2"
"1907";"Savai'i";"Samoa-SW Pacific";"Samoa";"Shield volcano";"Historical";""
"1909";"Cameroon, Mt.";"Africa-W";"Cameroon";"Stratovolcano";"Historical";"2"
"1909";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1910";"Usu";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1911";"Taal";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"4"
"1911";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1911";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
